I, [2018-05-08T23:08:27.129573 #1843]  INFO -- Kitchen: -----> Starting Kitchen (v1.17.0)
E, [2018-05-08T23:08:27.129862 #1843] ERROR -- Kitchen: ------Exception-------
E, [2018-05-08T23:08:27.129905 #1843] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-05-08T23:08:27.129935 #1843] ERROR -- Kitchen: Message: Kitchen YAML file /home/student/LearnChef/Day1/cookbooks/chef/Day2/.kitchen.yml does not exist.
E, [2018-05-08T23:08:27.129959 #1843] ERROR -- Kitchen: ----------------------
E, [2018-05-08T23:08:27.129980 #1843] ERROR -- Kitchen: ------Backtrace-------
E, [2018-05-08T23:08:27.129999 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2018-05-08T23:08:27.130027 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:147:in `data'
E, [2018-05-08T23:08:27.130046 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:126:in `suites'
E, [2018-05-08T23:08:27.130065 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:177:in `filter_instances'
E, [2018-05-08T23:08:27.130092 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:136:in `build_instances'
E, [2018-05-08T23:08:27.130110 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:112:in `instances'
E, [2018-05-08T23:08:27.130137 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-05-08T23:08:27.130156 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-05-08T23:08:27.130183 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2018-05-08T23:08:27.130210 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-05-08T23:08:27.130232 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/test.rb:38:in `call'
E, [2018-05-08T23:08:27.130251 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:53:in `perform'
E, [2018-05-08T23:08:27.130270 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:234:in `test'
E, [2018-05-08T23:08:27.130297 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-05-08T23:08:27.130316 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-05-08T23:08:27.130335 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2018-05-08T23:08:27.130354 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-05-08T23:08:27.130373 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-05-08T23:08:27.130392 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-05-08T23:08:27.130410 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-05-08T23:08:27.130429 #1843] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `<top (required)>'
E, [2018-05-08T23:08:27.130448 #1843] ERROR -- Kitchen: /usr/bin/kitchen:267:in `load'
E, [2018-05-08T23:08:27.130466 #1843] ERROR -- Kitchen: /usr/bin/kitchen:267:in `<main>'
E, [2018-05-08T23:08:27.130493 #1843] ERROR -- Kitchen: ----End Backtrace-----
